sentence,sentiment,topic
th?y d?y r?t vui và d? hi?u .,1,0
"v? ?? án môn h?c này , gi?ng viên nên cho tr??c b?n thi?t k? ki?n trúc tòa nhà c?a công ty , trung tâm th??ng m?i .",0,1
th?y gi?ng bài d? hi?u rõ ràng .,1,0
"th?y wzjwz323 quá tuy?t , em yêu th?y hi hi .",1,0
??i các b?n ng?i vào bàn h?t cô m?i s?p x?p ch? ng?i nên gây m?t th?i gian làm bài c?a sinh viên .,0,0
d?y ? gi?ng ???ng mà không ng?i trên thì khó th?y b?ng colonbigsmile .,0,0
cô nên t?n tâm ?i ? .,0,0
"vui v? , hài hòa , tích c?c trong gi?ng d?y .",1,0
em r?t thích h?c cô .,1,0
nên cho bài t?p ?? gi?i thêm .,0,0
gi?ng d?y nhi?t huy?t k?t h?p m? r?ng ki?n th?c .,1,0
micro hay b? hú và rè .,0,2
c?n cho sinh viên t?p nói các topic trong cái unit tr??c ?? sinh viên t? tin h?n v? kh? n?ng nói c?a mình .,0,0
quá t?t .,1,0
"th?y d?y vui , nhi?t tình .",1,0
em không hi?u bài nhi?u .,0,3
"th?y toàn ??a ra yêu c?u nh?ng không gi?ng d?y , có nh?ng bài t?p th?y ch? qu?ng code ?? sinh viên t? ??c t? hi?u ch? không h? gi?i thích gì c? !",0,0
vô tr? không ???c ?i?m danh .,0,0
gi?ng bài d? hi?u chuyên sâu .,1,0
h?c sinh luôn thích nh?ng giáo viên thân thi?n v?i h?c sinh ?? t?ng ???c s? t??ng tác gi?a ?ôi bên .,0,0
t?ng th?i l??ng cho ph?n nghe nói .,0,1
"em ngh? môn này nên minh h?a n?i dung lý thuy?t b?ng m?t ?? tài su?t t?t c? các n?i dung , gi?ng nh? làm m?t ?? án luôn v?y , nh? th? s? d? n?m b?t và hi?u lý thuy?t h?n .",0,1
v?a h?c ???c ki?n th?c chuyên môn v?a h?c ???c cách làm ng??i .,1,1
"gi?ng viên và gi?ng viên th?c hành d?y môn h?c cho sinh viên theo hai h??ng khác nhau , làm sinh viên r?t khó n?m b?t .",0,0
cô d?y nh? nhàng không gay g?t hay hung d? .,1,0
nh?ng ki?n th?c c? b?n còn ch?a n?m thì làm sao mà làm ???c .,0,1
gi?i thích chi ti?t bài h?c h?n .,0,0
?? án th?c hành khác xa so v?i lý thuy?t h?c trên l?p .,0,1
c?i thi?n ch?t l??ng phòng h?c và các trang thi?t b? h? tr? vi?c h?c t?p .,0,2
"cô nhi?t tình , giúp ?? sinh viên , t?o không khí h?c t?p tho?i mái .",1,0
th?y wzjwz123 d?y r?t hay và r?t nhi?t tình !,1,0
nên thay ??i các ho?t ??ng khác nhau hoàn toàn .,0,0
nâng cao trang thi?t b? h?c t?p .,0,2
c?n t?ng th?i gian môn h?c lên 30 - 50% ?? sinh viên có ?i?u ki?n ti?p thu sâu h?n ki?n th?c .,0,1
th?y d?y lý thuy?t suông quá ? .,0,0
gi?ng viên luôn t?o không khí vui v? trong gi? h?c .,1,0
n?i dung môn h?c quá n?ng và nhi?u th? không c?n thi?t v?i ngành ngh? c?a sinh viên .,0,1
"cô gi?ng bài còn ít ch? khó hi?u , không sâu s?c .",0,0
"trên l?p , khi gi?ng d?y , gi?ng viên s? d?ng r?t nhi?u câu nói , t? ng? thô t?c , ch?i th? r?t vô v?n hoá .",0,0
th?y gi?ng bài r?t k? .,1,0
th?t s? r?t hài lòng .,1,3
ch? có gì hài lòng .,0,3
"hình th?c gi?ng d?y hay , thông qua các mini game ?? truy?n ??t ki?n th?c .",1,0
gi?ng viên có vai trò r?t l?n ??i v?i vi?c t?i ?u code c?a sinh viên .,1,0
mang tính th?c ti?n cao cho vi?c thi toeic c?ng nh? th?c hành ngoài xã h?i .,1,1
"gi?ng viên c?p nh?t thông tin v? bài h?c th??ng xuyên , ??y ?? , m?i m? .",1,0
"th?y gi?ng bài khó hi?u , ?ôi khi còn m? h? .",0,0
c?n chu?n b? bài gi?ng m?t cách th?t chính xác và không làm vi?c riêng khi lên l?p .,0,0
"gi?ng viên nhi?t tình gi?ng d?y , các bài t?p ?a d?ng phù h?p v?i lý thuy?t .",1,0
"gi?ng viên nhi?t tinh , tâm huy?t .",1,0
"th?y d?y vui d? hi?u , không khí l?p h?c tho?i mái .",1,0
"có ki?n th?c sâu r?ng , gi?ng b?ng ti?ng anh .",1,0
nên chú tr?ng nói nghe nhi?u vì ?ã là anh v?n 3 r?i .,0,1
"cô gi?ng khá d? hi?u , nhi?t tình ch?y vòng vòng l?p h??ng d?n t?ng sinh viên .",1,0
n?ng n? nhi?t tình d? hi?u .,1,0
"ti?ng anh là môn ?òi h?i ph?i c?n th?i gian ?? luy?n , nh?ng ? ?ây nhà tr??ng s?p l?ch 1 ngày 4 ti?t .",0,1
"giáo viên d?y nhanh , có cái khó hi?u .",0,0
"ph??ng pháp gi?ng d?y ch? ??ng , giúp sinh viên không ch? nâng cao ki?n th?c chuyên môn mà còn c? k? n?ng ngh? nghi?p doubledot thuy?t trình , t? duy ph?n bi?n .",1,0
cách truy?n ??t ch?a giúp sinh viên hi?u ???c t?ng quát c?a v?n ?? !,0,0
"c?n s?p x?p phòng h?c cho h?p lý h?n , kèm theo các thi?t b? , công c? chi?u .",0,2
th?y gi?ng bài d? hi?u và r?t vui tính .,1,0
giáo viên nói ti?ng anh còn ch?a ???c t?t .,0,0
nên có ph?n ?áp án bài t?p tham kh?o cho các deadline bài t?p .,0,1
?? bao quát ki?n th?c trong môn h?c c?a th?y r?t r?ng nh?ng ??a vào t?t c? ch? trong m?t môn h?c thì không thích h?p .,0,0
"gây b?i r?i , hoang mang cho sinh viên trong nh?ng quy?t ??nh v? bài t?p , ?? án , không rõ ràng , không quy?t ??nh chính xác .",0,0
"giáo viên nhi?t tình , tâm huy?t , th??ng cho làm vi?c nhóm trong gi? h?c .",1,0
"th?y d? th??ng , nhi?t tình .",1,0
giáo viên truy?n ??t ???c t?t c? các n?i dung bài h?c .,1,0
"nên ch? ??a ra n?i dung chính và công th?c , cách làm bài .",0,0
gi?ng t?n tình vui v? .,1,0
"l?ch h?c không rõ ràng , khó n?m b?t l?ch .",0,0
th?c s? v?n ch?a hi?u wireshark ngoài m?c ?ích làm bài t?p thì em có th? dùng làm vi?c gì khác .,0,1
"gi?ng truy?n c?m , cho ví d? c? th? .",1,0
s?a ch?a nh?ng thi?t b? máy tính h? trong phòng máy .,0,2
"th?y wzjwz243 là m?t gi?ng viên r?t tâm huy?t v?i sinh viên , th?y truy?n ??t r?t d? hi?u bài và k? càng .",1,0
"gi?ng d?y khó hi?u , gây áp l?c quá nhi?u , kéo dài th?i gian gi?ng d?y làm sinh viên không th? ?n tr?a .",0,0
th?y nên b? ra m?t vài ti?t ?? làm bài t?p vì l??ng ví d? th?y cho khá nhi?u .,0,0
"c?n cho thêm nhi?u tài li?u , nhi?u bài t?p ?? sinh viên t? nghiên c?u .",0,1
"hòa ??ng , vui v? và bi?t ti?p thu ý ki?n sinh viên .",1,0
ch?a nhi?t tình l?m .,0,0
"giáo viên gi?ng d?y t?t , phát huy t?t kh? n?ng nghe nói và ??c c?a sinh viên .",1,0
"b?o th? trong cách gi?ng d?y , không gi?i ?áp th?c m?c h? tr? sinh viên khi ?ang th?c hành .",0,0
"ph?i h?c quá nhi?u ph?n không c?n thi?t , nên gi?m b?t vài n?i dung , ví d? doubledot vector ng?u nhiên 2 chi?u , phân ph?i poison .",0,1
"th?y d?y k? , d? hi?u , minh h?a lý thuy?t k? , liên t??ng th?c t? .",1,0
không ??ng bài t?p h?ng tu?n s?m ?? sinh viên có th?i gian th?c hi?n .,0,1
cô th??ng xuyên ki?m tra bài .,1,0
"th?y d?y d? hi?u , sinh ??ng , có nhi?u ví d? c? th? !",1,0
th?y luôn c? g?ng giúp h?c sinh hi?u rõ b?n ch?t .,1,0
"l??ng ki?n th?c thì nhi?u mà th?i gian d?y thì ít , mong phòng ?ào t?o có th? xem xét và chia ra d?y m?i môn 1 - 3 ngôn ng? , ví d? nh? html , css làm 1 môn h?c , js và jquery làm 1 môn , php làm 1 môn .",0,1
có ph??ng phát gi?ng d?y d? hi?u .,1,0
"có nhi?u câu chuy?n thú v? bên c?nh vi?c gi?ng d?y , t??ng tác v?i l?p nh?m t?o ?i?u ki?n cho vi?c ti?p thu ki?n th?c d? dàng .",1,0
"khi t?i em h?c môn ??c t? hình th?c th?y wzjwz169 gi?ng d?y thì t?i em không hi?u th?y ?ang nói gì , không hi?u ???c môn này h?c ?? làm gì và nó có ?ng d?ng vào th?c ti?n nh? th? nào .",0,0
"theo em , tài li?u môn h?c còn thi?u .",0,1
d?y nhi?t tình v?i sinh viên .,1,0
"gi?ng viên gi?ng bài có hi?u qu? , k?t h?p gi?a lý thuy?t và ch??ng trình giúp sinh viên có th? n?m rõ .",1,0
"gi?ng viên truy?n ??t r?t t?t , r?t d? hi?u .",1,0
"cô wzjwz62 có ph??ng pháp gi?ng d?y theo em là phù h?p v?i ??c thù c?a môn anh v?n , cô luôn t?o ra nh?ng ho?t ??ng d?y h?c ??y h?ng thú và luôn b?o ??m ki?n th?c ???c truy?n t?i ??n sinh viên m?t cách t?t nh?t , ?úng và ??y ?? nh?t .",1,0
cô c?ng r?t thân thi?n và g?n g?i v?i sinh viên .,1,0
"?i h?c th? d?c th?t ra em không bi?t th?y nào v?i th?y nào ?âu , vì lâu lâu m?i có th?y d?y .",0,1
"cô d?y hay , d? hi?u , nhi?u ví d? minh ho? , k?t h?p c? lý thuy?t và th?c hành .",1,0
th?y d?y cho ngh? nhi?u .,0,0
"em ngh? ?ây là s? c? do phòng ?ào t?o bu?c th?y thay ??i hình th?c thi , ban ??u chúng em ???c thông báo là thi cu?i k? trên máy tính , nh?ng sau ?ó l?i ph?i thi trên gi?y .",0,1
phòng wzjwz98 dãy nhà wzjwz99 bu?i chi?u quá nóng và n?ng !,0,2
"khi thi thì th?i gian quá ng?n ?? th?c hi?n trình bày dù ?ã ngh? ra cách gi?i d?y sinh viên "" làm nhanh nh?ng vi?c d? "" d?y sinh viên thành "" th? "" .",0,1
"th?y d?y không nhi?t tình , nh?t là ph?n th?c hành .",0,0
th?y r?t t?n tình .,1,0
có nhi?t huy?t trong gi?ng d?y .,1,1
th?y hay d?y l? gi? sang th?i gian ?n tr?a .,0,0
"k?t thúc môn h?c , sinh viên không ???c ch?m tay s? d?ng b?t k? ph?n m?m nào ???c gi?i thi?u .",0,1
nên t?ng h?p ý chính các bài ?? ôn .,0,0
ph??ng pháp gi?ng d?y khá t?t .,1,0
th?y tr? l?i mail không có thi?n c?m .,0,0
"b? xung trang thi?t b? th?c hành th?c ti?n cho môn này , không ch? ??n thu?n là th?c hành trên máy tính không .",0,2
th?y r?t nguyên t?c và m?i th? ???c s?p x?p rõ ràng .,1,0
"giáo viên gi?ng d?y ?úng gi? quy ??nh , n?i dung bài h?c sinh ??ng .",1,0
"th?y ?úng gi? gi?c , giúp ?? t?t trong quá trình th?c hành .",1,0
?ánh giá cao colonsmile .,1,3
"các th?c m?c có th? gi?i quy?t t?t v?i giáo viên lý thuy?t , cho nên không c?n ph?i có thêm 1 giáo viên th?c hành .",0,0
"th?y d?y có tâm , nhi?t tình v?i sinh viên .",1,0
"th?y có kh? n?ng truy?n ??t ki?n th?c t?t , d? hi?u và cho nhi?u bài t?p ?? sinh viên có th? ?ng d?ng .",1,0
giáo viên truy?n ??t ki?n th?c ??y ?? cho h?c sinh .,1,0
nhi?t tình gi?i ?áp m?i th?c m?c c?a sinh viên .,1,0
cô gi?ng d?y và ch? d?n h?c sinh r?t t?n tình .,1,0
"c?c nhi?t tình , th??ng sinh viên , gi?ng d? hi?u .",1,0
"n?i dung th?c hành ch? là copy và paste , ch?a t?p trung vào n?i dung gi?ng d?y .",0,1
"th?y truy?n ??t ch?a ???c t?t l?m , khó hình dung .",0,0
c?n t?ng c??ng thêm tài li?u .,0,1
"em ngh? thi cu?i k? môn này , nên thi v?i hình th?c t? lu?n 100% ? .",0,1
"s? l??ng thu?t toán nhi?u , dàn tr?i , nên ???c tinh gi?m b?t ?? t?p trung và liên h? ?ng d?ng th?c ti?n nhi?u h?n .",0,1
cách gi?ng d?y gây bu?n ng? .,0,0
bám sát ch??ng trình .,1,1
"th?y d?y r?t hay , mang tính c?p nh?t .",1,0
"th?y d?y hay , d? hi?u , th?y th??ng xuyên cho chúng em làm các d?ng bài t?p .",1,0
làm cho ng??i h?c b? r?i .,0,0
"cô t?n tâm , nhi?t tình .",1,3
hay nhi?t tình .,1,0
sinh viên ch?u khó s? làm ???c bài .,1,3
th?y d?y không hi?u qu? .,0,0
"vui tính , cách gi?ng thu hút .",1,0
"giáo viên luôn ??m b?o ?úng gi? gi?ng d?y , gi?ng bài d? hi?u .",1,0
?nh h??ng t?i k?t qu? chung c?a em .,0,3
"ti?ng anh không ph?i là môn d?y lý thuy?t , ng? pháp , nên em ngh? cô nên thay ??i cách d?y .",1,0
"th?y d?y khá hay và chi ti?t , d? ti?p thu .",1,0
s? nhi?t tình chu ?áo c?a cô .,1,0
gi?ng d?y chi ti?t h?n .,0,0
"th?y s? d?ng ti?ng anh và ti?ng vi?t l?n l?n , gây khó hi?u .",0,0
"r?t t?t , không có ý ki?n .",1,3
"th?y nhi?t tình , tâm huy?t , ??p trai .",1,0
"cho bài t?p l?y ?i?m th?c hành quá khó , h??ng d?n s? sài .",0,1
lên l?p tr? 5 - 10 phút .,0,0
th?y nhi?t tình gi?ng d?y .,1,0
c?n cung c?p thêm tài li?u h?c t?p cho sinh viên .,0,1
em c?n ph? bi?n nhi?u thông tin h?n .,0,0
"th?y ngh? quá nhi?u , ?ây là môn v? kinh t? mà th?y làm quá kh?t khe .",0,0
"gi?ng viên th??ng xuyên ?i tr? , vi?c gi?ng d?nh luôn b? kéo dài vì gi?ng viên quá nhi?t tình .",0,0
"th?y d?y có hi?u qu? , d? hi?u , thi?t th?c .",1,0
"th??ng xuyên ?i ra ngoài , ?i?n tho?i , skype liên t?c reo .",0,0
h?i nhi?u bài t?p .,0,0
cô d?y r?t nhi?t tình và d? hi?u .,1,0
"gi?ng viên d?y r?t nhi?t tình , giúp ?? sinh viên r?t nhi?u .",1,0
?ôi t? ti?ng anh em ch?a hi?u .,0,3
c?n nâng cao h?n ch?t l??ng gi?ng d?y .,0,1
"th?y t?n tâm v?i h?c sinh , nhi?t tình v?i h?c sinh .",1,0
không c?n ph?i ?i h?c th?c hành trên phòng máy nhi?u .,0,1
m?t s? v?n ?? c? b?n gi?ng viên nên l??c b?t ?? không t?n th?i gian .,1,1
thái ?? r?t nhi?t tình .,1,0
cho thêm nhi?u bài t?p .,0,0
s? nhi?t tình và t?n tâm c?a th?y .,1,0
t?n tâm và r?t c?p nh?t thông tin cho sinh viên .,1,0
gi?ng viên h??ng d?n nhi?t tình .,1,0
"giáo trình rõ ràng , bài t?p ??y ?? n?i dung ?ã h?c .",1,0
??a thêm các ví d? trong th?c ti?n ?? sinh viên d? ti?p thu bài .,0,0
"cô nhi?t tình , gi?ng k? và d? hi?u .",1,0
"phòng h?c quá nóng , thi?u qu?t .",0,2
th?y d?y r?t t?n tâm và nhi?t tình .,1,0
phòng máy không s? d?ng ???c .,0,2
"em h?c c?m th?y h?i khó hi?u , cô d?y h?i nhanh .",0,0
"gi?ng viên d?y hay , nhi?t tình và d? hi?u .",1,0
"?i ?úng gi? , d?y ?? ki?n th?c .",1,0
"th?y theo r?t sát sinh viên chúng em trong t?ng bu?i h?c , th?y luôn làm ví d? ?? sinh viên d? dàng h?n trong vi?c code .",1,0
"ít ti?t nên sinh viên h?c có v? nhàm chán và khuôn m?u , nên có th?i gian ?? sinh viên tmf hi?u nhi?u h?n .",0,1
th?y ??n r?t ?úng gi? .,1,0
giáo viên không h??ng d?n s? d?ng các tài li?u có hi?u qu? và không h??ng d?n làm bài t?p mà ch? s?a bài t?p .,0,0
"giáo viên d?y nhi?t tình , ??m b?o ki?n th?c cho sinh viên .",1,0
nên ?? giáo viên có kinh nghi?m d?y môn này .,0,1
"th?y d?y r?t hay , ng?n g?n , t?ng quát và d? hi?u .",1,0
"cô r?t d? th??ng , gi?ng d?y nhi?t tình và d? hi?u .",1,0
cô r?t g?n g?i v?i h?c sinh .,1,0
th?y r?t gi?ng r?t nhi?t tình .,1,0
th??ng xuyên ôn t?p ki?n th?c .,1,0
em ngh? th?y nên up slide tr??c m?i bu?i h?c ?? sinh viên có th? xem bài tr??c ? nhà thay vì up slide sau m?i bu?i h?c ? !,0,0
"gi?ng viên nhi?t tình , quan tâm ??n h?u h?t các sinh viên trong l?p .",1,0
"th?y d?y c?c k? nhi?t tình , ch?c là h?n 10 m?y n?m ?i h?c c? ph? thông l?n ??i h?c m?i th?y ???c th?y d?y nhi?t tình v?y .",1,0
"lý do lý thuy?t không hi?u , d?n ??n th?c hành c?ng không hi?u .",0,1
"th?y nhi?t tình và r?t quý sinh viên , gi?i bài t?p chi ti?t và có kèm ví d? sinh ??ng , em r?t thích th?y và mong th?y ti?p t?c d?y l?p em .",1,0
c?n sinh ??ng h?n .,0,1
không c?ng nh?c trong cách cho ?i?m .,0,0
truy?n ??t ch?a t?t l?m .,0,0
"phòng máy quá c? , internet không có , nh? , máy c?u hình quá y?u .",0,2
"d? hi?u , d?y hay , có nhi?u ph??ng pháp sáng t?o , k?o ngon .",1,0
"??m b?o gi? lên l?p , s? ti?t d?y .",1,0
không h??ng d?n làm ?? án .,0,0
th?y có nh?ng m?u truy?n hay và ý ngh?a .,1,0
còn quá ít bài t?p .,0,0
"cung c?p thêm tài li?u , giáo trình môn h?c .",0,1
chia nhóm làm ?? án r?t hay .,1,1
"h?n n?a , l?i dùng silverlight , d?n ??n tình tr?ng nhi?u b?n không mu?n h?c , vì h?c silverlight xong r?i , gi? ?âu ai dùng n?a .",0,0
cô d?y hay và d? hi?u và r?t nhi?t tình .,1,0
"th?y gi?ng r?t hay , chúng em c?m ?n th?y .",1,0
giáo viên c?n ??m b?o gi? lên l?p .,0,0
"gi?ng viên r?t t?n tâm , chu ?áo .",1,0
"gi?ng d?y nhi?t tình , hài h??c .",1,0
nh?t nh?o và khá nh?m .,0,0
"gi?ng viên gi?ng bài ch?a hi?u qu? , nhi?u sinh viên không hi?u bài .",0,0
"gi?ng viên d?y d? hi?u , t?n tình , ??m b?o gi? lên l?p , cung c?p ??y ?? ki?n th?c c?n có cho sinh viên .",1,0
"??ng th?i , nh?ng câu h?i th?y ??t ra r?t sát và ?òi h?i ki?n th?c sâu so v?i bài h?c .",1,0
th?y d?y vui hi?u qu? t?n tình .,1,0
các th?y cô nên ?? micro g?n mi?ng tí .,0,0
c?n thay ??i ch??ng trình gi?ng d?y cho phù h?p h?n .,0,1
cho ví d? d? hi?u .,1,0
có vài b?n n?p ?? án tr? nh?ng v?n ???c ?i?m r?t cao .,0,0
"th?y t?n tâm , nhi?t tình , nghiêm kh?c , gi?ng bài d? hi?u , ?ánh giá k?t qu? h?c t?p công tâm , chính xác .",1,0
nhi?t tình và d? hi?u .,1,0
qua k? sau mong th?y có th? tìm ra ???c m?t ph??ng pháp d?y phù h?p giúp b?n em c?m th?y h?ng thú v?i môn h?c c?a th?y .,0,0
"bu?i nào c?ng có th?c hành, h?c lý thuy?t xong ra th?c hành li?n s? có hi?u qu? cao !",0,1
"gi?ng viên d?y ch?m giúp sinh viên theo k?p ti?n ?? , có s? t??ng tác nhi?u gi?a c? gi?ng viên và sinh viên , ví d? minh h?a bài t?p phong phú sau m?i ph?n lý thuy?t giúp sinh viên n?m rõ bài .",1,0
nhi?u khi ?ang làm th?c hành mà không có m?ng ?? tìm hi?u th? mình c?n .,0,2
phòng th?c hành wzjwz53 c?n ???c nâng c?p .,0,2
"gi?ng d?y nhi?t tình d? hi?u , t?n tâm v?i sinh viên .",1,0
l?p h?c quá ?ông nên r?t nóng .,0,3
slide d? hi?u .,1,1
cách d?y và nhi?u bài t?p hay .,1,0
"giáo viên luôn t?n tâm , nhi?t tình và có s? t??ng tác cao v?i sinh viên .",1,0
h?c g?n công trình thì công th?t không th? ch?u n?i .,0,2
c?n gi?ng k? h?n n?a .,0,0
"cách th?y gi?ng d?y r?t khoa h?c , ??n gi?n d? hi?u !",1,0
ki?n th?c gi?ng r?t khó hi?u .,0,0
"bài gi?ng t?o s? h?ng thú cho sinh viên , gi?ng viên nhi?t tình .",1,1
cô gi?ng r?t d? hi?u và t?n tâm v?i h?c sinh .,1,0
"gi?ng viên vui tính , kh? n?ng truy?n ??t t?t .",1,0
"gi?ng d? nghe , nhi?t tình .",1,0
"cách gi?ng d?y c?a cô r?t d? hi?u , cô c?ng r?t quan tâm sinh viên .",1,0
h?c môn này khá vui .,1,1
"ch?a có nhi?u ho?t ??ng nhóm hay thuy?t trình , ch?a ???c ?i th?c t? doanh nghi?p .",0,0
nhi?t tình giúp ?? các b?n sinh viên .,1,0
giáo trình toàn dùng c không dùng cplusplus nhi?u d? gây r?i trong quá trình l?p trình .,0,1
ch?a bao gi? có ý ??nh ngh? ti?t c?a th?y ( tr? tr??ng h?p ng? quên colonbigsmile ) .,1,0
"??ng l?p ?úng gi? , gi?i ?áp m?i th?c m?c c?a sinh viên , nhi?t tình .",1,0
ch? b?o t?n tình .,1,0
"th?y d?y hay và ??a ví d? r?t sát , d? dàng hi?u bài khi trên l?p .",1,0
"th?y ngh? nhi?u quá , làm t?i em c?ng ngh? theo .",0,0
nêu rõ m?c ?ích c?ng nh? ?ng d?ng c?a môn h?c ngay t? ??u .,0,0
"giáo viên nhi?t tình , ??m b?o gi? lên l?p .",1,0
c?m ?n cô r?t nhi?u .,1,0
r?t n?n .,0,3
nên cho thêm nhi?u bài t?p v? nhà h?n .,0,1
th?y wzjwz187 d?y có tâm và luôn h? tr? khi có th?c m?c .,1,0
"gi?ng viên nhi?t tình , có kinh nghi?m .",1,0
th?y cô ch?a ??a nhi?u v?n ?? xã h?i vào .,0,0
máy chi?u phòng wzjwz11 ch?t l??ng quá kém .,0,2
"luy?n t?p nhóm , làm bài t?p nhi?u .",1,1
?? ngh? nhà tr??ng nên ??u t? thêm cho phòng máy và c?p nh?t các ph?n m?m ph?c v? cho h?c t?p .,0,2
?ôi khi không có s? nhi?t huy?t .,0,0
"c?nh cáo sinh viên ?i tr? nh?ng gi?ng viên ?i tr? , th??ng xuyên v?ng d?y không có lý do không có thông báo , gây b?c xúc , hao t?n th?i gian , phí ?i l?i c?a sinh viên .",0,0
"th?y d?y r?t t?n tâm , nhi?t tình tr? l?i câu h?i c?a sinh viên .",1,0
th?y nên demo các m?ch b?ng protues .,0,0
"gi?ng nói , c? ch? , cách truy?n ??t c?a cô r?t chi là d? th??ng .",1,0
d?y nói quá lan man làm chi sinh viên không t?p trung .,0,0
"máy tính c?a phòng th?c hành không ph?c v? ???c n?i dung th?c hành , gi?ng viên yêu c?u t? làm trên laptop r?i mang lên phòng th?c hành ch?m ?i?m , v?y phòng th?c hành dùng ?? ch?m ?i?m ?",0,2
"th?y nhi?t tâm , vui tính .",1,0
gi?ng viên th?c hành r?t nhi?t tình và gi?i ?áp ???c nh?ng v?n ?? m?u ch?t c?a môn h?c .,1,0
"th?y r?t nhi?t tình , th??ng nói thêm ?? m? r?ng ki?n th?c cho sinh viên và th?ng th?n ch? ra nh?ng thi?u sót c?a slide bài gi?ng ?? sinh viên không m?c sai l?m và hi?u rõ v?n ?? .",1,0
"còn kh?t khe ?i?m quá , cho ki?m tra quá nhi?u .",0,1
"gi?ng viên không h??ng d?n sinh viên th?c hi?n các bài th?c hành , không cung c?p tài li?u ?? sinh viên h?c t?p .",0,0
"gi?ng d?y c?ng nh?c , áp ??p , không thu hút , gò bó sinh viên .",0,0
"gi?ng d?y hay , ??a ra m?t s? ví d? th?c t? ?? t?ng sinh  ??ng cho ti?t d?y .",1,0
cho bài t?p nâng cao kh? n?ng ti?ng anh .,1,0
?? c??ng môn h?c ch?a ???c c?p nh?t cho sinh viên .,0,1
th?y c?n t?p trung th?t nhi?u vào ph?n tr?ng tâm tr?ng ?i?m mà môn h?c ?ã ???c ?? ra .,0,0
"gi?ng viên cho bài t?p nhi?u , ??y ?? .",1,0
bài t?p gi?ng viên cho t?i l?p ?áp ?ng nhu c?u c?a sinh viên .,1,1
th?y d?y có tâm ? .,1,0
ki?n th?c và cách d?y hay .,1,0
th?y r?t vui .,1,0
g?n g?i v?i sinh viên .,1,0
th?y d?y nhi?t tình và ?úng gi? .,1,0
th??ng xuyên cho bài t?p v? nhà giúp sinh viên n?m rõ ???c ki?n th?c v?ng ch?c h?n .,0,0
khá t?n tình .,1,0
ch?n th?i gian báo cáo phù h?p cho sinh viên .,1,0
"gi?ng viên nhi?t tình , ?úng gi? .",1,0
"gi?ng viên t?n tâm , nhi?t tình , cho sinh viên thuy?t trình các ch? ?? cho tr??c , giúp sinh viên t?ng c??ng kh? n?ng làm vi?c nhóm .",1,0
"d?y ki?n th?c khá là cao c?p , v??t h?n kh? n?ng hi?u bi?t c?a ?a s? sinh viên .",0,0
th?y d?y hi?u bài .,1,0
"th?y hay hát vu v? , nghe c?ng hay nh?ng c?ng r?t bu?n c??i .",1,0
"nâng c?p trang thi?t b? , ??c bi?t là loa nghe ?? có ch?t l??ng t?t nh?t .",0,2
"gi?ng viên h??ng d?n rõ , ch? d?n t?ng sinh viên .",1,0
cô không ??ng slide bài h?c lên tr??c mà ch? ??ng sau khi ?ã h?c xong vì th? khi không hi?u thì không có slide ?? ??c l?i .,0,0
"cách d?y c?a th?y ch?a hi?u qu? , nhi?u lúc còn nâng ?? m?t s? sinh viên .",0,0
"hình th?c báo cáo ?? án cu?i k? , không th? hi?n ???c kh? n?ng c?a sinh viên , d? x?y ra tr??ng h?p m?t ng??i làm , c? ?ám ng??i h??ng , vì th?y không yêu c?u b?ng phân công công vi?c và ch? ch?m ?i?m chung cho c? nhóm d?a trên bài báo cáo ???c n?p , m?c dù m?t nhóm th?y quy ??nh là 5 ng??i .",0,0
t?ng c??ng giao l?u th?c ti?n ti?ng anh .,0,1
"th?y th??ng xuyên ?i tr? , có tu?n thì tr? 30 - 45 phút , có m?t tu?n tr? t?n 1 ti?ng ( lúc này sinh viên ?ã ra v? ) .",0,0
báo ngh? không rõ ràng .,0,0
không truy?n ???c c?m h?ng h?c t?p .,0,0
"truy?n ??t ki?n th?c t?t , thân thi?n v?i sinh viên .",1,0
luôn liên h? th?c ti?n .,1,0
c?n có thêm nhi?u tài li?u cho sinh viên nghiên c?u .,0,1
tuy nhiên th?i gian lên l?p c?a th?y khá h?n ch? và h?u h?t th?i gian th?y s? d?ng ch?a hi?u qu? .,0,0
khá là tâm huy?t .,1,0
c?n cung c?p m?c tiêu môn h?c .,0,1
th?y nên nói ch?m l?i m?t tí !,0,0
em mu?n nhà tr??ng x?p l?ch làm sao ?? chúng em ít b? trùng l?ch nh?t ? .,0,1
gi?ng k? d? hi?u minh h?a th?c t? .,1,0
deadline các bài t?p th?c hành không c? ??nh .,0,1
"quá nhi?u bài t?p , t?n r?t nhi?u th?i gian mà hi?u qu? không có .",0,1
th?y còn gi?ng r?t hài h??c .,1,0
"ch? cô r?t x?u , cô d?y khó hi?u , không gi?i thích v? bài th?c hành mà ch? ??a 3 clip r?i b?o sinh viên làm theo .",0,0
cho ôn t?p m?t ???ng ra ?? m?t ki?u .,0,0
"rõ ràng , c?n b?n , th?c t? .",1,3
"th?y r?t có tâm v?i sinh viên , th?y không nh?ng d?y lý thuy?t còn ví d? nh?ng ?ng d?ng ?ó ? môi tr??ng làm vi?c bên ngoài .",1,0
ch?a ???c tham gia chi?n d?ch th?c t? và tham quan công ty .,0,1
"cách d?y hay , t?o ??ng l?c cho sinh viên .",1,0
"gi?ng viên gi?ng d?y nhi?t tình , có nhi?u bài t?p hay .",1,0
